"Designator","Qty","Value","Part#","LCSC Part #","Footprint","Datasheet"
"C1,C10,C26,C29","4","22uF","x","x","Capacitor_SMD:C_0805_2012Metric",""
"C2,C4,C12,C13,C17","5","10nF","CC0805JKNPO9BN103","C527201","Capacitor_SMD:C_0805_2012Metric",""
"C5,C18,C19,C24,C30","5","10uF","x","x","Capacitor_SMD:C_0805_2012Metric",""
"C6,C7,C8,C9,C11,C20,C22,C23,C25,C27,C31","11","100nF","x","x","Capacitor_SMD:C_0805_2012Metric",""
"C14,C15","2","27pF","x","x","Capacitor_SMD:C_0805_2012Metric",""
"C16","1","22nF","x","x","Capacitor_SMD:C_0805_2012Metric",""
"C21","1","2.2uF","x","x","Capacitor_SMD:C_0805_2012Metric",""
"C28","1","470uF","x","x","Capacitor_SMD:C_Elec_10x10.2",""
"D1","1","RED","","","LED_SMD:LED_0805_2012Metric",""
"D2","1","GREEN","","","LED_SMD:LED_0805_2012Metric",""
"D3","1","D_Schottky SS34","","","Diode_SMD:D_SMA",""
"J1","1","USB_B_Micro","","","Connector_USB:USB_Micro-B_Molex-105017-0001",""
"J5","1","Conn_01x06_Socket","x","x","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"J6","1","Conn_01x02_Socket","x","x","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"J11,J12","2","Conn_01x22_Socket","ZX-PM2.54-1-22PY","C7499337","Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical",""
"L1","1","4.7uH","SL0420-4R7M","C22463808","Inductor_SMD:L_TechFuse_SL0420",""
"R1,R2,R9","3","10K","","","Resistor_SMD:R_0805_2012Metric",""
"R3,R6,R10,R12","4","1K","x","x","Resistor_SMD:R_0805_2012Metric",""
"R4,R5,R8","3","1k","","","Resistor_SMD:R_0805_2012Metric",""
"R7","1","1.2k","","","Resistor_SMD:R_0805_2012Metric",""
"R11","1","31K2","x","x","Resistor_SMD:R_0805_2012Metric",""
"R13","1","33K","x","x","Resistor_SMD:R_0805_2012Metric",""
"R15,R17,R18,R20","4","100","x","x","Resistor_SMD:R_0805_2012Metric",""
"R16","1","22","x","x","Resistor_SMD:R_0805_2012Metric",""
"R19","1","0R","","","Resistor_SMD:R_0805_2012Metric",""
"R21","1","150K","","","Resistor_SMD:R_0805_2012Metric",""
"R22","1","19.1K","","","Resistor_SMD:R_0805_2012Metric",""
"R23,R25","2","22K","x","x","Resistor_SMD:R_0805_2012Metric",""
"R24","1","6K8","x","x","Resistor_SMD:R_0805_2012Metric",""
"R26","1","3K6","x","x","Resistor_SMD:R_0805_2012Metric",""
"U1","1","SPU0410LR5H-QB","x","x","wzw:XDCR_SPU0410LR5H-QB","https://www.digikey.com/en/products/detail/syntiant/SPV0142LR5H-1/13901275"
"U2","1","TL972IDR","TL972IDR","C46127","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U3","1","OPA838IDBVR","OPA838IDBVR","C2058363","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/gpn/opa838"
"U4","1","adcs7476aimfx/nopb","ADCS7476AIMFX/NOPB","C91530","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","https://www.ti.com/cn/lit/gpn/adcs7478"
"U5","1","TP4056","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",""
"U6","1","DW01","","","Package_TO_SOT_SMD:SOT-23-6",""
"U7","1","FS8205A","","","Package_TO_SOT_SMD:SOT-23-6",""
"U8","1","MT3608","","","Package_TO_SOT_SMD:SOT-23-6","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf"
"U9","1","74HC4053D_653","","","SO16_SOT109-1_NEX","74HC4053D_653"
"U10","1","TPS74801DRCR","TPS74801DRCR","C105263","Package_SON:VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm",""
